symbol,organ_name,en_organ_name,exchange,type
DHA,CTCP Hóa An,Hoa An Joint Stock Company,HOSE,stock
BLN,CTCP Vận tải và Dịch vụ Liên Ninh,Lien Ninh Transport and Service Joint Stock Company,UPCOM,stock
MTP,CTCP Dược Medipharco,Medipharco Pharmaceutical Joint Stock Company,UPCOM,stock
CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Cuu Long Petro Urban Development and Investment Corporation,HOSE,stock
ODE,CTCP Tập đoàn Truyền thông và Giải trí ODE,ODE Media and Entertainment Group Joint Stock Company,UPCOM,stock
FBC,CTCP Cơ khí Phổ Yên,Pho Yen Mechanical Joint Stock Company,UPCOM,stock
EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội,Educational Book Joint Stock Company in Hanoi City,HNX,stock
GER,CTCP Thể thao Ngôi sao Geru,Geru Star Sport Joint Stock Company,UPCOM,stock
TIP,CTCP Phát triển Khu Công nghiệp Tín Nghĩa,Tin Nghia Industrial Park Development Joint Stock Company,HOSE,stock
TIX,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Tan Binh Import - Export Joint Stock Corporation,HOSE,stock
BMK,CTCP Kỹ thuật nhiệt Mèo Đen,Black Cat Insulation Technical Joint Stock Company,UPCOM,stock
SHA,CTCP Sơn Hà Sài Gòn,Son Ha Sai Gon Joint Stock Company,HOSE,stock
SZE,CTCP Môi trường Sonadezi,Sonadezi Environment Joint Stock Company,UPCOM,stock
SHG,Tổng Công ty cổ phần Sông Hồng,Song Hong Joint Stock Corporation,UPCOM,stock
VNC,CTCP Tập đoàn Vinacontrol,Vinacontrol Group Corporation,HNX,stock
BTS,CTCP Xi măng VICEM Bút Sơn,Vicem But Son Cement Joint Stock Company,HNX,stock
FRM,CTCP Lâm Nghiệp Sài Gòn,Sai Gon Forestry Import Export Joint Stock Company,UPCOM,stock
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Ha Noi South Housing and Urban Development Corporation,HOSE,stock
STD,CTCP Bia - Nước giải khát Sài Gòn - Tây Đô,Sai Gon Tay Do Beer - Beverage Joint Stock Company,UPCOM,stock
ANT,CTCP Rau quả Thực phẩm An Giang,An Giang Fruit-Vegetables & Foodstuff Joint Stock Company,HOSE,stock
BHA,CTCP Thủy điện Bắc Hà,Bac Ha Hydropower Joint Stock Company,UPCOM,stock
VIM,CTCP Khoáng sản Viglacera,Viglacera Mineral Joint Stock Company,UPCOM,stock
ABC,CTCP Truyền thông VMG,VMG Media Joint Stock Company,UPCOM,stock
PGD,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,PetroVietNam Low Pressure Gas Distribution Joint Stock Company,HOSE,stock
VE2,CTCP Xây dựng Điện VNECO 2,VNECO 2 Electricity Construction Joint Stock Company,UPCOM,stock
VTI,CTCP Sản xuất - Xuất nhập khẩu Dệt may,Textile - Garment Import - Export and Production Joint Stock Company,UPCOM,stock
S72,CTCP Sông Đà 7.02,Song Da 7.02 Hydroelectric Joint Stock Company,UPCOM,stock
LSG,CTCP Bất động sản Sài Gòn Vina,Saigon Vina Land Joint Stock Company,UPCOM,stock
CCT,CTCP Cảng Cần Thơ,CanTho Port Joint Stock Company,UPCOM,stock
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ,South West PetroVietnam Fertilizer and Chemicals Joint Stock Company,HNX,stock
HNA,CTCP Thủy điện Hủa Na,Hua Na Hydropower Joint Stock Company,HOSE,stock
DNP,CTCP DNP Holding,DNP Holding Joint Stock Company,HNX,stock
BNW,CTCP Nước sạch Bắc Ninh,Bac Ninh Clean Water Joint Stock Company,UPCOM,stock
CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,Yen Bai Joint Stock Forest Agricultural Products And Foodstuff Company,HNX,stock
TCX,CTCP Chứng khoán Kỹ Thương,Techcom Securities Joint Stock Company,HOSE,stock
UIC,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO,Idico Urban and House Development Investment Joint-Stock Company,HOSE,stock
LTG,CTCP Tập đoàn Lộc Trời,Loc Troi Group Joint-Stock Company,UPCOM,stock
DVN,Tổng Công ty Dược Việt Nam - CTCP,Vietnam Pharmaceutical Corporation - Joint Stock Company,UPCOM,stock
ND2,CTCP Đầu tư và Phát triển Điện Miền Bắc 2,Northern Electricity Development and Investment Joint Stock Company No. 2,UPCOM,stock
PTG,CTCP May Xuất khẩu Phan Thiết,Phan Thiet Garment Import - Export Joint Stock Company,UPCOM,stock
TCK,Tổng Công ty Cơ khí Xây dựng - CTCP,Construction Machinery Corporation - JSC,UPCOM,stock
DTI,CTCP Đầu tư Đức Trung,Duc Trung Investment Joint Stock Company,UPCOM,stock
PDC,CTCP Du lịch Dầu khí Phương Đông,Phuong Dong Petroleum Tourism Joint Stock Company,UPCOM,stock
NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng,Danang Housing Investment Development Joint Stock Company,HNX,stock
BMV,CTCP Bột mỳ Vinafood 1,Vinafood 1 Flour Joint Stock Company,UPCOM,stock
SII,CTCP Hạ tầng Nước Sài Gòn,Sai Gon Water Infrastructure Corporation,UPCOM,stock
SVC,CTCP Dịch vụ Tổng hợp Sài Gòn,Saigon General Service Corporation,HOSE,stock
CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,Cam Ranh International Airport Services Joint Stock Company,HNX,stock
CSC,CTCP Tập đoàn Cotana,Cotana Group Joint Stock Company,HNX,stock
