short_name,name,fund_type,fund_owner_name,management_fee,inception_date,nav,nav_change_previous,nav_change_last_year,nav_change_inception,nav_change_1m,nav_change_3m,nav_change_6m,nav_change_12m,nav_change_24m,nav_change_36m,nav_change_36m_annualized,nav_update_at,fund_id_fmarket,fund_code,vsd_fee_id
VESAF,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2017-04-17,33336.48,0.74,5.78,233.36,8.03,19.96,6.55,10.2,31.46,39.24,11.67,2025-07-26,23,VESAF,VESAFN002
VCAMBF,QUỸ ĐẦU TƯ CÂN BẰNG BẢN VIỆT,Quỹ cân bằng,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN BẢN VIỆT,1.2,2014-04-10,20545.08,0.39,8.99,72.39,6.57,15.24,10.11,13.68,29.28,39.0,11.6,2025-07-26,70,VCAMBF,VCAMBFN001
VLGF,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.5,2021-11-15,12786.24,0.55,3.82,27.89,6.91,16.53,4.74,9.66,35.12,36.65,10.97,2025-07-26,49,VLGF,VLGFN001
VEOF,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2014-06-30,33152.96,0.61,6.32,175.27,8.72,21.49,7.04,13.12,34.08,36.54,10.94,2025-07-26,20,VEOF,VEOFN003
ENF,QUỸ ĐẦU TƯ NĂNG ĐỘNG EASTSPRING INVESTMENTS VIỆT NAM,Quỹ cân bằng,CÔNG TY TNHH QUẢN LÝ QUỸ EASTSPRING INVESTMENTS,1.5,2014-03-03,39433.0,0.85,5.78,294.33,6.43,14.06,6.25,9.93,31.12,34.93,10.5,2025-07-26,81,ENF,ENFN001
MAFEQI,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ MANULIFE INVESTMENT (VIỆT NAM),1.75,2014-09-30,19647.0,0.22,8.82,96.49,10.68,22.14,11.38,13.34,31.73,31.27,9.49,2025-07-26,72,MAFEQI,MAFEQI
VIBF,QUỸ ĐẦU TƯ CÂN BẰNG TUỆ SÁNG VINACAPITAL,Quỹ cân bằng,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2019-07-01,19185.25,0.31,7.52,91.99,4.03,9.73,7.46,12.0,28.4,28.7,8.77,2025-07-26,22,VIBF,VIBFN003
MAFBAL,QUỸ ĐẦU TƯ CÂN BẰNG MANULIFE,Quỹ cân bằng,CÔNG TY TNHH QUẢN LÝ QUỸ MANULIFE INVESTMENT (VIỆT NAM),1.2,2017-09-28,17321.0,0.11,6.86,73.26,5.69,11.59,7.97,10.37,23.44,27.15,8.33,2025-07-26,71,MAFBAL,MAFBAL
VCBF-FIF,QUỸ ĐẦU TƯ TRÁI PHIẾU VCBF,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,0.5,2019-08-08,14967.55,-0.1,3.47,49.68,0.5,1.64,3.32,6.33,16.09,26.09,8.03,2025-07-26,33,VCBFFIF,VCBFFIFN001
DCAF,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,Quỹ cổ phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ DAI-ICHI LIFE VIỆT NAM,1.5,2019-01-02,16985.07,1.37,5.43,69.85,8.59,18.94,7.6,6.15,20.34,25.54,7.88,2025-07-26,29,DCAF,DCAFN002
VNDBF,QUỸ ĐẦU TƯ TRÁI PHIẾU VND,Quỹ trái phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN IPA,1.1,2019-07-04,15091.91,0.06,3.77,50.92,0.78,1.85,3.39,7.1,15.84,24.9,7.69,2025-07-26,37,VNDBF,VNDBFN001
MAFF,QUỸ ĐẦU TƯ TRÁI PHIẾU LINH HOẠT MIRAE ASSET VIỆT NAM,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ MIREA ASSET VIỆT NAM,0.8,2021-12-16,12906.65,-0.19,3.21,29.1,0.52,1.49,3.14,6.9,15.52,24.62,7.61,2025-07-26,50,MAFF,MAFFN001
PVBF,QUỸ ĐẦU TƯ TRÁI PHIẾU PVCOM,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,0.5,2020-02-06,14841.24,-0.65,1.48,48.41,0.05,0.97,3.21,6.48,15.5,24.42,7.55,2025-07-26,45,PVBF,PVBFN001
VFF,QUỸ ĐẦU TƯ TRÁI PHIẾU BẢO THỊNH VINACAPITAL,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,0.95,2013-03-31,24702.22,0.04,3.64,85.95,0.52,1.62,3.23,6.88,14.82,23.71,7.35,2025-07-26,21,VFF,VFFN003
VNDAF,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,Quỹ cổ phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN IPA,1.5,2018-01-11,16990.08,0.78,5.75,69.9,8.4,16.69,7.15,7.02,14.45,22.98,7.14,2025-07-26,38,VNDAF,VNDAFN001
